name,canon_smiles,dose_mg,cmax_mg_L,log_cmax_per_dose,n_studies,tmax_h,thalf_h,auc_ng_h_ml,f_pct,formulation,is_prodrug,in_holdout
lenvatinib,COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(N)=O,10.0,0.0958644876896549,-2.0183422443069445,2,2.01,27.7,1038.0,,capsule,False,False
tivozanib,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,1.5,0.0209641292391017,-1.8546144306898982,3,10.0,121.0,2223.0,,,False,False
dacomitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1,45.0,0.0274420316303294,-3.2147962531990966,2,7.0,64.88,1712.275,80.0,tablet,False,False
gefitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,250.0,0.0835374167663808,-3.476058967255171,2,5.0,35.6,2614.5,57.0,tablet,False,False
anethole trithione,COc1ccc(-c2cc(=S)ss2)cc1,75.0,0.00096,-4.892790030352131,1,2.4,4.03,,,tablet,False,False
arzoxifene,COc1ccc(-c2sc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,100.0,0.0098599999999999,-4.006123085058793,1,2.14,30.0,274.0,,tablet,False,False
daridorexant,COc1ccc(-n2nccn2)c(C(=O)N2CCC[C@@]2(C)c2nc3c(C)c(Cl)ccc3[nH]2)c1,25.0,0.8195877012254393,-1.4843445759389777,2,0.875,11.2,6465.0,62.0,,False,False
Fipaxalparant,COc1ccc(C(=O)NC2(C(=O)O)Cc3ccccc3C2)cc1OCCc1cccc(C)c1,150.0,11.099999999999998,-1.130768280269024,1,3.5,21.4,85200.0,,,False,False
encainide,COc1ccc(C(=O)Nc2ccccc2CCC2CCCCN2C)cc1,25.0,0.0607999999999999,-2.6140364293993033,1,1.1,1.2,124.0,29.0,,False,False
formoterol,COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1,0.17,9.399999999999993e-05,-3.2573210677785758,1,1.17,5.08,0.00064,,capsule,False,False
verapamil,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,80.0,0.0628483890008327,-3.1047958371420545,2,0.835,3.21,259.5,23.0,tablet,False,False
astemizole,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,10.0,0.00074,-4.130768280269024,1,1.3,50.4,17.4,,tablet,False,False
vernakalant,COc1ccc(CCO[C@@H]2CCCC[C@H]2N2CC[C@@H](O)C2)cc1OC,240.0,0.4811999999999999,-2.697885623043799,1,2.0,1.89,1324.0,40.2,capsule,False,False
eluxadoline,COc1ccc(CN(C(=O)[C@@H](N)Cc2c(C)cc(C(N)=O)cc2C)[C@@H](C)c2nc(-c3ccccc3)c[nH]2)cc1C(=O)O,100.0,0.0033769870329216,-4.471470606981232,3,2.1,4.4,22.1,,,False,False
trimetazidine,COc1ccc(CN2CCNCC2)c(OC)c1OC,20.0,0.0735468286195945,-2.434466045217767,2,1.755,6.57,717.5,,tablet,False,False
avanafil,COc1ccc(CNc2nc(N3CCC[C@H]3CO)ncc2C(=O)NCc2ncccn2)cc1Cl,100.0,2.63,-1.5800442515102422,1,0.5,7.53,7148.67,,tablet,False,False
papaverine,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,80.0,0.1815,-2.644213357619812,1,1.25,,256.38,23.02,tablet,False,False
glyburide,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,5.0,0.1276009012507356,-1.593116262499159,2,2.865,2.09,586.24,,tablet,False,False
midodrine,COc1ccc(OC)c(C(O)CNC(=O)CN)c1,5.0,0.01746,-2.456925764966468,1,1.01,0.66,39.46,,tablet,False,False
diltiazem,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,90.0,0.0935921289677555,-2.9830031830260797,3,3.2,4.6,684.8,,tablet,False,False
melatonin,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,4.0,0.0057699999999999,-2.8408841781722387,1,1.0,1.08,8.84,15.9,tablet,False,False
indomethacin,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,50.0,2.4093629863513715,-1.3170677700936588,2,1.76,4.615,8464.415,98.0,capsule,False,False
acemetacin,COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,60.0,0.245,-2.3889851660191113,1,3.2,1.03,589.0,,capsule,False,False
noscapine,COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C,100.0,0.129,-2.889410289700751,1,0.88,4.5,219.0,,tablet,False,False
oxycodone,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,15.0,0.0328999999999999,-2.6588953611057082,1,1.25,3.57,155.4,73.5,tablet,False,False
hydrocodone,COc1ccc2c3c1O[C@H]1C(=O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314,90.0,0.0606,-3.1717698852730387,1,8.0,10.0,1135.0,,tablet ER,False,False
galantamine,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,8.0,0.0456201709773209,-2.243933078379945,2,1.15,8.3,418.5,90.0,tablet,False,False
codeine,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,60.0,0.1807668112896724,-2.5210325532091664,3,0.75,4.41,649.0,80.5,capsule,False,False
dihydrocodeine,COc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@H]4[C@@H](C2)N(C)CC[C@@]341,20.0,0.0592034602029306,-2.5286829054423547,2,0.865,3.165,300.085,,tablet,False,False
nabumetone,COc1ccc2cc(CCC(C)=O)ccc2c1,500.0,0.56,-2.9507819773298185,1,8.63,26.05,18070.0,,tablet,False,False
naproxen,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,250.0,44.3,-0.7515362824489681,1,2.0,17.5,779210.0,95.0,tablet,False,False
agomelatine,COc1ccc2cccc(CCNC(C)=O)c2c1,25.0,0.0098093200936572,-3.406301102189735,3,1.1,1.1,11.71,5.0,tablet,False,False
omeprazole,COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1,40.0,0.539,-1.8704712261412237,1,,0.5,,76.0,tablet,False,False
omeprazole,COc1ccc2nc([S+]([O-])Cc3ncc(C)c(OC)c3C)[nH]c2c1,40.0,0.9099287812790624,-1.6430525892353276,2,2.2,1.125,2228.55,53.0,capsule,False,False
elagolix,COc1cccc(-c2c(C)n(Cc3c(F)cccc3C(F)(F)F)c(=O)n(C[C@H](NCCCC(=O)O)c3ccccc3)c2=O)c1F,100.0,0.397,-2.401209493236885,1,0.5,6.1,1069.0,,,False,False
tramadol,COc1cccc(C2(O)CCCCC2CN(C)C)c1,100.0,0.29,-2.537602002101044,1,1.9,5.1,2488.0,68.0,capsule,False,False
