drug,smiles,dose_mg,obs_cmax,pred_cmax_pbpk,log_obs_cmax_per_mg,tier
montelukast,CC(C)(C1=CC=CC=C1CCC(C2=CC=CC(=C2)C=CC3=NC4=C(C=CC(=C4)Cl)C=C3)SCC5(CC5)CC(=O)O)O,5.0,0.667,,-2.0144031455006135,fda_expanded
morphine,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O,60.0,0.01865,,-8.076253695114413,fda_expanded
naproxen oral,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,500.0,64.3,,-2.051048467178618,fda_expanded
oxybutynin,CCN(CC)CC#CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O,5.0,0.0036000000000000003,,-7.236259345954173,fda_expanded
paroxetine,C1CNCC(C1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4,20.0,0.061700000000000005,,-5.781203621624786,fda_expanded
pazopanib,CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N,800.0,58.1,,-2.6224460638100617,fda_expanded
pilocarpine,CCC1C(COC1=O)CC2=CN=CN2C,10.0,0.015,,-6.502290170873972,fda_expanded
posaconazole,CCC(C(C)O)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5CC(OC5)(CN6C=NC=N6)C7=C(C=C(C=C7)F)F,300.0,0.014,,-9.972480424023079,fda_expanded
progesterone,CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,200.0,0.0173,,-9.35536614402644,fda_expanded
quinine,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O,324.0,3.2,,-4.617592705986649,fda_expanded
quizartinib,CC(C)(C)C1=CC(=NO1)NC(=O)NC2=CC=C(C=C2)C3=CN4C5=C(C=C(C=C5)OCCN6CCOCC6)SC4=N3,53.0,0.14,,-5.9364047699249545,fda_expanded
