canon_smiles,dose_mg,cmax_mg_L,log_cmax_per_dose,name,n_studies
NC(=O)N1c2ccccc2C[C@H](O)c2ccccc21,600.0,8.031727177348536,-1.873342302498089,eslicarbazepine,4
Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)[nH]c1=O,40.0,0.9477504670723025,-1.6253659841995522,stavudine (d4t),4
COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[nH]2)c1C,20.0,0.3664653615865635,-1.7369970643887231,rabeprazole,4
Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,7.5,0.7496441014900894,-1.0002061352579854,meloxicam,4
Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,4.0,0.05935458298953788,-1.828605733239996,pomalidomide,4
CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,10.0,0.027785050471777317,-2.556188809978315,rizatriptan (mk-462),4
COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1,200.0,5.416348383459763,-1.5673234049521516,lacosamide,4
CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,10.0,0.3883646160032476,-1.4107603456398436,montelukast,4
CN(C)CCCN1c2ccccc2CCc2ccccc21,50.0,0.02862088469979494,-3.24228695023369,imipramine,4
Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,8.0,0.03993933714012471,-2.3016891342383063,ondansetron,4
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,4.0,0.012812001774054546,-2.4944430012002083,salbutamol (albuterol),4
N[C@@H]1c2cccnc2[C@H](OC(=O)N2CCC(n3c(=O)[nH]c4ncccc43)CC2)CC[C@H]1c1cccc(F)c1F,75.0,0.6638696869140865,-2.052978424698835,rimegepant,4
C#CCN[C@@H]1CCc2ccccc21,2.0,0.011608015588401873,-2.236272013019935,rasagiline,4
Nc1nc(=O)c2ncn(COCCO)c2[nH]1,1000.0,5.185030117413928,-2.2852487166541704,acyclovir,4
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,150.0,1.233599269314674,-2.084917155589963,erlotinib,4
N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,200.0,0.8344314532471622,-2.379639329542935,sitagliptin,4
Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1,50.0,4.137691745835626,-1.0822118713338036,bromfenac,4
CCCNS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1,10.0,0.20172185326253728,-1.6952470505367183,macitentan,4
CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,100.0,0.5141932369929334,-2.2888736397817726,ticagrelor,4
CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,20.0,0.0013398465471905175,-4.173974934257831,simvastatin acid,4
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,500.0,51.95484400958552,-0.9833439591115472,tolbutamide,4
Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,500.0,18.236205601242897,-1.4380355243933989,sulfadiazine,4
Cc1cc(Nc2ncnc3ccc(NC4=NC(C)(C)CO4)cc23)ccc1Oc1ccn2ncnc2c1,300.0,0.40287867279978673,-2.871946976982617,tucatinib,4
