name,mw,logP,charge_class,oatp1b1_substrate,oatp1b1_inhibitor,oatp1b3_substrate,oatp1b3_inhibitor,pgp_substrate,pgp_inhibitor,bcrp_substrate,bcrp_inhibitor,oct2_substrate,oct2_inhibitor,mrp2_substrate,mrp2_inhibitor,mate1_substrate,mate1_inhibitor
diclofenac,296.2,4.51,acid,0,0,0,0,0,0,0,0,0,0,1,0,0,0
furosemide,330.7,2.03,acid,0,0,0,0,0,0,0,0,0,0,1,0,0,0
hydrochlorothiazide,297.7,-0.07,acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spironolactone,416.6,2.76,neutral,0,0,0,0,1,0,0,0,0,0,0,0,0,0
amlodipine,408.9,3.00,base,0,0,0,0,1,0,0,0,0,0,0,0,0,0
nifedipine,346.3,2.20,neutral,0,0,0,0,1,0,0,0,0,0,0,0,0,0
omeprazole,345.4,2.23,neutral,0,0,0,0,1,0,0,0,0,0,0,0,0,0
lansoprazole,369.4,2.72,neutral,0,0,0,0,1,0,0,0,0,0,0,0,0,0
levetiracetam,170.2,-0.64,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gabapentin,171.2,-1.10,zwitterion,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phenytoin,252.3,2.47,acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carbamazepine,236.3,2.45,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0
methotrexate,454.4,-1.85,acid,0,0,0,0,0,0,1,0,0,0,1,0,0,0
sitagliptin,407.3,0.43,base,0,0,0,0,0,0,0,0,0,0,0,0,0,0
empagliflozin,450.9,1.29,neutral,0,0,0,0,0,0,1,0,0,0,0,0,0,0
rivaroxaban,435.9,0.38,neutral,0,0,0,0,1,0,0,0,0,0,0,0,0,0
apixaban,459.5,1.26,neutral,0,0,0,0,1,0,1,0,0,0,0,0,0,0
edoxaban,548.1,1.36,neutral,0,0,0,0,1,0,0,0,0,0,0,0,0,0
oseltamivir,312.4,0.36,base,0,0,0,0,0,0,0,0,1,0,0,0,1,0
efavirenz,315.7,4.60,neutral,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tenofovir,287.2,-1.02,acid,0,0,0,0,0,0,0,0,0,0,1,0,0,0
naloxone,327.4,1.46,base,0,0,0,0,1,0,0,0,0,0,0,0,0,0
buprenorphine,467.6,4.98,base,0,0,0,0,1,0,0,0,0,0,0,0,0,0
glipizide,445.5,1.45,acid,1,0,0,0,0,0,0,0,0,0,0,0,0,0
glyburide,494.0,4.79,acid,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cetirizine,388.9,1.70,zwitterion,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loratadine,382.9,4.02,neutral,0,0,0,0,1,0,0,0,0,0,0,0,0,0
theophylline,180.2,-0.02,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0
